run_datetime,cir_mbps,interval_mean_ns,interval_median_ns,interval_max_ns,interval_min_ns,interval_max_minus_min_ns,interval_sd_ns,cpu_ats,tx_duration_s,use_ts2phc,use_netns,isolcpus_list,script_version,tx_command,rx_command,pcap_file
"2026-03-25 22:16:08",100,123039.99912640115,123041,123058,123017,41,6.318794958379091,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir100Mbps.dur10.2.pcap"
"2026-03-25 22:18:04",200,61536.00099060464,61537,61553,61512,41,6.036115683505025,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir200Mbps.dur10.2.pcap"
"2026-03-25 22:19:31",300,41024.00004921623,41024.0,41041,41000,41,5.923755062493777,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir300Mbps.dur10.1.pcap"
"2026-03-25 22:19:55",400,30783.999972315956,30784,30808,30760,48,5.867760589939185,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir400Mbps.dur10.1.pcap"
"2026-03-25 22:21:54",500,24607.999987695974,24608,24633,24584,49,5.830148091477345,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir500Mbps.dur10.1.pcap"
"2026-03-25 22:22:24",600,20512.000004105215,20512,20537,20488,49,5.8025864653889005,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir600Mbps.dur10.1.pcap"
"2026-03-25 22:23:26",700,17600.00001933488,17600.0,17625,17576,49,5.782725568130728,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir700Mbps.dur10.1.pcap"
"2026-03-25 22:23:53",800,15392.00003076005,15392.0,15417,15368,49,5.778866365695131,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir800Mbps.dur10.1.pcap"
"2026-03-25 22:24:29",900,13695.999990430204,13696.0,13721,13672,49,5.7693961766307424,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir900Mbps.dur10.1.pcap"
"2026-03-25 22:24:56",990,12448.000002485662,12448,12473,12424,49,5.767584109476549,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir990Mbps.dur10.1.pcap"
"2026-03-25 22:25:23",999,12320.000019706133,12320.0,12345,12296,49,5.764185226231129,4,10,true,true,"0-20","1.0.0","../../secV-A.cir_shaping.tx.sh -N -c ../../configs/netns.conf -t -T 10","../../secV-A.cir_shaping.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-A.netns.cir999Mbps.dur10.1.pcap"
