# id
# session_trial_no
# date
# pcap
# cbs_multiplier
# num_frames
# intervals
1, 2, 3
1, 2, 3
2026-04-01 17:54:01, 2026-04-01 17:54:06, 2026-04-01 17:54:11
result_secV-B.netns.cbs8x.num100.1.pcap, result_secV-B.netns.cbs16x.num100.1.pcap, result_secV-B.netns.cbs32x.num100.1.pcap
8, 16, 32
100, 100, 100
12320, 12320, 12320
12336, 12320, 12320
12320, 12321, 12320
12321, 12336, 12320
12320, 12320, 12320
12304, 12320, 12337
12320, 12320, 12320
36800, 12304, 12320
123041, 12320, 12320
123042, 12320, 12304
123033, 12321, 12320
123041, 12320, 12320
123041, 12320, 12320
123041, 12320, 12320
123041, 12320, 12321
123041, 12320, 12320
123041, 48961, 12320
123050, 123041, 12320
123041, 123033, 12320
123041, 123057, 12320
123041, 123041, 12320
123025, 123041, 12336
123041, 123041, 12320
123041, 123025, 12321
123033, 123042, 12320
123042, 123033, 12304
123041, 123041, 12320
123041, 123041, 12320
123041, 123041, 12320
123041, 123041, 12320
123041, 123041, 12320
123033, 123041, 12321
123041, 123034, 12320
123058, 123041, 12320
123041, 123041, 73280
123041, 123057, 123042
123041, 123041, 123041
123025, 123041, 123049
123033, 123041, 123041
123041, 123025, 123041
123041, 123034, 123041
123042, 123041, 123025
123041, 123041, 123041
123041, 123041, 123042
123041, 123041, 123033
123033, 123041, 123041
123041, 123041, 123041
123041, 123034, 123041
123041, 123041, 123041
123058, 123041, 123041
123041, 123041, 123041
123041, 123057, 123034
123041, 123041, 123041
123017, 123041, 123057
123041, 123033, 123041
123041, 123026, 123041
123042, 123041, 123041
123041, 123041, 123025
123041, 123041, 123034
123041, 123041, 123041
123033, 123041, 123041
123041, 123033, 123041
123041, 123041, 123041
123041, 123042, 123041
123042, 123041, 123041
123057, 123041, 123033
123041, 123041, 123042
123033, 123057, 123041
123041, 123033, 123041
123025, 123041, 123057
123041, 123041, 123041
123041, 123026, 123041
123042, 123041, 123033
123041, 123041, 123025
123033, 123041, 123042
123041, 123033, 123041
123041, 123041, 123041
123041, 123041, 123041
123041, 123042, 123041
123041, 123041, 123033
123042, 123041, 123041
123049, 123041, 123041
123041, 123033, 123042
123041, 123057, 123041
123041, 123041, 123041
123025, 123041, 123057
123041, 123042, 123033
123041, 123025, 123041
123034, 123041, 123041
123041, 123033, 123026
123041, 123041, 123041
123041, 123041, 123041
123041, 123041, 123041
123041, 123041, 123033
123041, 123042, 123041
123034, 123041, 123041
123041, 123033, 123041
123057, 123041, 123042
123041, 123041, 123041
