run_datetime,cir_mbps,interval_mean_ns,interval_median_ns,interval_max_ns,interval_min_ns,interval_max_minus_min_ns,interval_sd_ns,cpu_ats,cpu_iperf,tx_duration_s,use_ts2phc,use_netns,isolcpus_list,script_version,tx_command,rx_command,pcap_file
"2026-03-25 23:22:20",100,123039.99945860813,123041.0,123042,123033,9,2.818132799686235,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir100Mbps.dur5.1.pcap"
"2026-03-25 23:24:49",200,61535.873549641336,61521,73825,61512,12313,441.96941207523594,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir200Mbps.dur5.1.pcap"
"2026-03-25 23:25:40",300,41024.03146557735,36913,49217,36904,12313,5803.951698286872,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir300Mbps.dur5.1.pcap"
"2026-03-25 23:26:04",400,30783.995158353224,36904.0,36921,24600,12321,6151.973893761795,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir400Mbps.dur5.1.pcap"
"2026-03-25 23:26:28",500,24607.999990156753,24608,24617,24600,17,1.414418875119114,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir500Mbps.dur5.1.pcap"
"2026-03-25 23:27:00",600,20512.015745092733,24608.0,24617,12296,12321,5798.284076331809,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir600Mbps.dur5.1.pcap"
"2026-03-25 23:27:24",700,17599.981009565527,12304,24617,12296,12321,6092.164365976272,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir700Mbps.dur5.1.pcap"
"2026-03-25 23:27:49",800,15391.988098936625,12304,24617,12296,12321,5334.702055334014,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir800Mbps.dur5.1.pcap"
"2026-03-25 23:28:14",900,13696.00243346257,12304.0,24617,12296,12321,3897.3773345370378,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir900Mbps.dur5.1.pcap"
"2026-03-25 23:28:38",950,12960.008105125735,12304.0,24617,12296,12321,2764.275314329562,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir950Mbps.dur5.1.pcap"
"2026-03-25 23:29:03",990,12447.987641278924,12304,24617,12296,12321,1323.2153919878706,4,6,5,true,true,"0-20","1.0.0","../../secV-C.priority.tx.sh -N -t -c ../../configs/netns.conf -T 5","../../secV-C.priority.rx_stats.sh -N -c ../../configs/netns.conf","result_secV-C.netns.cir990Mbps.dur5.1.pcap"
